"car_name","make","year","car_type","stock_class","stock_pi","drivetrain_stock","recommended_preset","primary_roles","upgrade_order","required_adjustable_parts","optional_parts","avoid","tune_sections","data_needed_for_exact_tune","risk_flags","ai_notes","confidence"
"1968 Abarth 595 esseesse","Abarth","1968","Cult Cars","D","100","RWD","road_low_class_momentum","leaderboard_benchmark;low_class_momentum","weight reduction > final drive/transmission if bad > street tire only if needed > brakes if weak > mild power","final_drive_or_transmission;front/rear ARB if available","sport brakes;street tire","race slicks;heavy aero;huge engine swaps","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","meta_signal_not_fun_default","Keep PI efficient; do not destroy momentum with tire overspend","derived_from_car_archetype_and_build_preset"
"1980 Abarth Fiat 131","Abarth","1980","Classic Rally","D","399","RWD","rally_b_a","leaderboard_benchmark;rally_build","rally tire > rally suspension > ride height > weight > diff > moderate power > final drive","rally_suspension;race_diff","rally transmission;mudflaps/livery","slicks;slammed suspension;stiff bump","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Compliance and traction beat road-racing stiffness","derived_from_car_archetype_and_build_preset"
"2016 Abarth 695 Biposto","Abarth","2016","Hot Hatch","B","540","RWD","road_low_class_momentum","low_class_momentum","weight reduction > final drive/transmission if bad > street tire only if needed > brakes if weak > mild power","final_drive_or_transmission;front/rear ARB if available","sport brakes;street tire","race slicks;heavy aero;huge engine swaps","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;check_availability_currently","Keep PI efficient; do not destroy momentum with tire overspend","derived_from_car_archetype_and_build_preset"
"2001 Acura Integra Type R","Acura","2001","Retro Hot Hatch","C","471","FWD","road_low_class_momentum","leaderboard_benchmark;low_class_momentum","weight reduction > final drive/transmission if bad > street tire only if needed > brakes if weak > mild power","final_drive_or_transmission;front/rear ARB if available","sport brakes;street tire","race slicks;heavy aero;huge engine swaps","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Keep PI efficient; do not destroy momentum with tire overspend","derived_from_car_archetype_and_build_preset"
"2002 Acura RSX Type S","Acura","2002","Retro Hot Hatch","C","462","FWD","road_low_class_momentum","leaderboard_benchmark;low_class_momentum","weight reduction > final drive/transmission if bad > street tire only if needed > brakes if weak > mild power","final_drive_or_transmission;front/rear ARB if available","sport brakes;street tire","race slicks;heavy aero;huge engine swaps","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Keep PI efficient; do not destroy momentum with tire overspend","derived_from_car_archetype_and_build_preset"
"2022 Acura NSX Type S","Acura","2022","Modern Supercars","S1","734","AWD","touge_jdm_a","leaderboard_benchmark;touge_or_drift_project","tires > brakes > weight > suspension/ARB > diff > short useful gearing > modest power","race_springs;ARB;race_diff;final_drive","street/semi-slick;race brakes","huge turbo lag;top-speed gearing","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently;meta_signal_not_fun_default","Braking and exit control beat peak power","derived_from_car_archetype_and_build_preset"
"2023 Acura Integra A-Spec","Acura","2023","Hot Hatch","C","484","FWD","road_low_class_momentum","leaderboard_benchmark;low_class_momentum","weight reduction > final drive/transmission if bad > street tire only if needed > brakes if weak > mild power","final_drive_or_transmission;front/rear ARB if available","sport brakes;street tire","race slicks;heavy aero;huge engine swaps","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Keep PI efficient; do not destroy momentum with tire overspend","derived_from_car_archetype_and_build_preset"
"1965 Alfa Romeo Giulia Sprint GTA Stradale","Alfa Romeo","1965","Rare Classics","D","379","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1965 Alfa Romeo Giulia TZ2","Alfa Romeo","1965","Classic Racers","B","532","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"1968 Alfa Romeo 33 Stradale","Alfa Romeo","1968","Classic Racers","B","593","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
